Title,Release Date,Rating,Popularity,Language
Obsession,2026-05-13,8.261,722.1192,en
Toy Story 5,2026-06-17,7.4,658.6359,en
Disclosure Day,2026-06-10,6.684,496.6377,en
Backrooms,2026-05-27,6.8,466.6709,en
Scary Movie,2026-06-03,5.405,462.1724,en
The Devil Wears Prada 2,2026-04-29,7.01,349.8566,en
Citizen Vigilante,2026-06-19,6.584,254.4411,en
Deep Water,2026-04-30,7.139,214.656,en
The Furious,2026-06-10,7.637,275.0029,zh
Your Heart Will Be Broken,2026-03-26,7.079,212.5677,ru
Minions & Monsters,2026-06-24,6.395,166.274,en
Michael,2026-04-22,8.706,178.3103,en
Enola Holmes 3,2026-06-30,7.0,169.8106,en
Passenger,2026-05-20,5.7,184.6921,en
Project Hail Mary,2026-03-15,8.675,164.3082,en
The Shawshank Redemption,1994-09-23,8.724,166.9172,en
The Get Out,2026-06-18,6.5,153.7142,en
Mortal Kombat II,2026-05-06,7.981,149.3051,en
Damage,1992-12-02,6.6,141.4918,en
The Super Mario Galaxy Movie,2026-04-01,8.246,136.6925,en
